Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist I,-1,"26-Aug-2020

Job ID
301489BR
{""QuestionName"":""Job Description"",""AnswerValue"":""•Understand complex and critical business problems from Country/Regional/Global business functions, formulate integrated analytical approach to mine data sources, employ statistical methods and machine learning algorithms to discover actionable insights and automate process for reducing effort and time for repeated use. High agility to be able to work across various business domains (commercial, NTO, GDD,NIBR, NBS) or divisions (Onco, GenMeds, Sandoz). Able to use business presentations, smart visualization tools and contextual story-telling to translate findings back to business users with a clear impact. No direct team management.
•Work on a variety of business applications including but not limited to: Customer Segmentation & Targeting, Event Prediction, Propensity Modelling, Churn Modelling, Customer Lifetime Value Estimation, Forecasting, Recommender Systems, Modelling Response to Incentives, Marketing Mix Optimization, Price Optimization . Develop automation for repeatedly refreshing analysis and generating insights Modelling Response to Incentives, Marketing Mix Optimization, Price Optimization. Collaborates with globally dispersed internal stakeholders and cross-functional teams to solve critical business problems and deliver successfully on high visibility strategic initiatives. Understands life science data sources including sales, contracting, promotions, social media, patient claims and Real World Evidence
•Quickly learns the use of tools, data sources and analytical techniques needed to answer a wide range of critical business questions. Articulates solutions/recommendations to business users. Works with senior data science team member to present analytical content concisely and effectively. Project manages own tasks and works with allied team members; plans proactively, anticipates and actively manages change, sets stakeholder expectations as required, identifies operational risks and independently drives issues to resolution, minimizes surprise escalations. Independently identifies research articles and reproduce/apply methodology to Novartis business problems

Position Title
Data Scientist I",4.0,"Novartis
4.0",Hyderābād,-1,10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
Data Scientist 1,-1,"PayPals Next-Generation Platforms Consumer Risk team is responsible for assessing and managing buyer-side financial risk exposures for this $8 billion portfolio (including identity theft, stolen financials, account takeover, and credit risk), as well as developing and implementing the policies, treatments, and experiences related to the management of these exposures. The team is also responsible for partnering with the corresponding Business Units to align with and influence their strategic priorities, educate business partners about Risk management principles, and collaboratively optimize the Risk treatments and experiences for these unique products and partners.

Each Decision Scientist on this team has full ownership of a portfolio of merchants and is responsible for end-to-end management of loss and decline rates. Day-to-day duties include data analysis, monitoring and forecasting, creating the logic for and implementing risk rules and strategies, providing requirements to data scientists and technology teams on attribute, model and platform requirements, and communicating with global stakeholders to ensure we deliver the best possible customer experience while meeting loss rate targets.

Scope of responsibility:
Work is generally self-directed with minimum supervision. Review is normally after the fact and may be developmental in nature.
Works on assignments that are of intermediate complexity with multiple steps in execution, and guided by generally defined processes and project requirements
Focuses primarily on completing short-term goals of a project efficiently and effectively
Job Requirements:
Strong analytical skills -- ability to build quick estimates using back-of-the-envelope analysis, structure (and, if needed, execute) more complex analyses, pull together business cases and forecasts to navigate through multi-dimensional sets of tradeoffs.
Enthusiasm for data-driven problem solving within a fast-paced environment is a must. In addition, experience with Microsoft Excel or statistical software, working knowledge of SQL or other relational database languages, and hands-on experience in data analysis involving large data sets are strongly desired.
Polished communication and influence skills risk decision scientists need to collaborate cross-functionally with product managers, data scientists, business owners, and customers to learn from subject-matter experts, present findings in a clear and concise manner, and reach alignment on how to execute risk strategies. Demonstrated ability to influence groups and effectively resolve conflicts is required.
An innate intellectual curiosity, and a willingness to build awareness of current payments industry and risk management best practices. PayPal is constantly innovating by introducing new products and entering new markets, so successful risk analysts on this team must quickly get up speed on new content areas. You will be expected to become an expert in your specific domain
Can-do attitude, team player, energetic personality, ability to work well under pressure in a fast-paced and constantly changing environment to meet deadlines. The successful risk analyst is a self-starter who has the resilience to learn from their mistakes and reach their true potential.
Identify glitches in processes and tools and develop and execute solutions to overcome general issues and obstacles with little supervision.
Learning in-depth analysis of alternatives and applying specialized knowledge
Impact of decision has moderate reach
Seeks improvement within defined tasks. Understands, evaluates, and executes improvement ideas from supervisors
BS/BA degree with 5+ years of experience or masters degree with 3+ years of experience.",3.7,"Paypal
3.7",Bangalore,-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
Data Scientist,-1,"The Company

Hitachi Vantara, a wholly-owned subsidiary of Hitachi, Ltd., guides our customers from what’s now to what’s next by solving their digital challenges. Working alongside each customer, we apply our unmatched industrial and digital capabilities to their data and applications to benefit both business and society. More than 80% of the Fortune 100 trust Hitachi Vantara to help them develop new revenue streams, unlock competitive advantages, lower costs, enhance customer experiences, and deliver social and environmental value.

The Role

We are seeking Data Scientist

Responsibilities

Role Overview:
Explore large datasets to surface useful trends, signals, and segments. The role drives business and industry solutions focused on Big Data and Advanced Analytics. Domain expertise in Manufacturing/Healthcare/Telecom/Financial Services is a key aspect. The role uses analytics to provide predictive, prescriptive, and decisive insight.

Job Description:
• Interact with customers to understand business objectives and create analytical strategies to help achieve them.
• Enhancing data collection procedures to include information that is relevant for building analytic systems.
• Processing, cleansing, and verifying the integrity of data used for analysis.
• Analyze and model structured data using advanced statistical methods.
• Perform exploratory data analyses, generate and test working hypotheses, prepare and analyze historical data and identify patterns.
• Analyze data using open source packages and commercial/enterprise applications
• Perform machine learning, text analytics, and statistical analysis methods, such as classification, collaborative filtering, association rules, sentiment analysis, topic modeling, time-series analysis, regression, statistical inference, and validation methods.
• Selecting features, building and optimizing classifiers using machine learning techniques.
• Implement algorithms and software needed to perform analyses.
• Drive client engagements focused on Big Data and Advanced Business Analytics.
• Doing ad-hoc analysis and presenting results in a clear manner.
• Communicate results and educate others through reports and presentations. Skills Required â€¢ Expertise in Data Mining, Data wrangling, and data munging using one or more of the most commonly used data science tools: R, Python, SAS, SPSS, Weka â€¢ Experience in end-to-end data science and engineering activities.
• Expertise in client engagement, data science consulting type activities.
• Must have led a team of data engineers and data scientists in leading data science engagements.
• Experience with analytics in IT and IoT space is a plus.
• Knowledge and experience in Hadoop (Map Reduce paradigm) etc.
• Must be hands-on and must have worked on implementing machine learning and data mining algorithms.
• Passion for finding meaning in large data sets and identifying actionable results.
• Excellent communication skills (both written and verbal) and interpersonal skills.
• Experience working with and transforming large data sets.
• Understanding of business value and how this relates to actionable results.
• Ability to identify or interpret many inputs and requirements then transforming them into actionable plans.
• Ability to take vaguely defined data sets and requirements then proactively identify and partner with needed SMEs to provide interpretations tailored to individual client needs.
• Ability to visualize data results into meaningful workflows including charts and graphs
• Experience in scripting languages with experience in scripting to integrate software solutions is a plus.
• Additional Skills (optional) Scala, Spark, H2O,Mahout, Hive
• Product Knowledge: At least 3 of the following: o R, Python (Scikit-learn, numpy, etc), Weka, SAS, SPSS, MATLAB/Octave, Hadoop (Map Reduce programming).
• Ability to work in a Linux environment, and process large amounts of data in a cloud environment.
• Knowledge in Search Engine: such as Elastic, Apache Lucene/Solr
Qualifications
Bachelor
We are an equal opportunity employer. All applicants will be considered for employment without attention to age, race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",2.8,"Hitachi Vantara
2.8",Hyderābād,-1,5001 to 10000 Employees,1989,Subsidiary or Business Segment,IT Services,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,-1,"Job Description:


Job Title - Data Scientist

Location- Pune

Role Description


Within the HR function, we are looking for a Data Scientist who will help discover information hidden in the data available and help the business to drive the strategy with data-based insights. Data scientist must be able to apply their analytical, statistical and programming skills to collect, analyze and interpret large data sets and present the outcomes using various data visualization techniques apt for different kind of stakeholders. Data scientist then should use such outcomes to develop data driven solutions and support stakeholders to improve business outcomes.

What we’ll offer you

As part of our flexible scheme, here are just some of the benefits that you’ll enjoy

· Best in class leave policy

· Gender neutral parental leaves

· 100% reimbursement under child care assistance benefit (gender neutral)

· Flexible working arrangements

· Sponsorship for Industry relevant certifications and education

· Employee Assistance Program for you and your family members

· Comprehensive Hospitalization Insurance for you and your dependents

· Accident and Term life Insurance

Complementary Health screening for 35 yrs. and above

Areas of Specialty
Data Mining: Ability to perform statistical analysis, prepare forecasting and predictive models etc.
AI & Machine Learning: Ability to build AI Models/Machine Learning models to automate the processes and continuously enhance the model based on data changes
Programming Skills: Ability to write programs/scripts in popular scripting and programming languages
Data Profiling & Quality: Ability to perform data quality checks on the source data ensuring good data quality for the model inputs
Data Visualization: Ability to present the outcomes in the most effective way
Responsibilities
Work continuously with stakeholders to identify opportunities of leveraging data to help in business solutions and driving business strategy; in this case it will be for the HR function of a large European bank
Analyze data to find patterns by applying data mining techniques and performing statistical analysis
Build AI tools to automate the processes; create machine learning based tools or processes
Develop high quality predictive modeling systems to provide HR with crucial results helping business to take smart decisions around workforce planning e.g. identification of potential leavers/movers
Develop data collection processes from a wide variety of sources including the data verification steps to ensure bringing the right quality of data and continuous monitoring of data performance
Use third party data in collaboration with organization’s data to have better insights and comparison with industry parameters
Develop and automate testing & verification framework for testing the quality of the various models being developed or already in production
Develop smart data visualization techniques/approaches conveying the outcomes in a clear and intuitive manner
Recruit, train and lead a team of data scientists
Evaluate new and emerging technologies
Skills & Qualifications
Excellent understanding and experience with common data science tools and data mining technologies
Exposure of AI & Machine Learning techniques and algorithms
Good demonstrable experience with data visualization tools and reporting technologies
Good experience with different databases including RDBMS, NoSQL databases and formats like JSON, XML etc.
Excellent scripting and programming skills like Python, R, Java, Scala etc.
Strong analytical and problem solving skills
Proficient written and verbal communication skills
Exposure to Big Data and Business Analytics technologies
Experience with cloud technologies
Data oriented personality with a drive to learn and master new technologies
Education/Certification


Graduation/Post-graduation from an accredited college or university with a concentration in Statistics or Computer Science (or equivalent)

Deutsche Bank is an equal opportunity employer who seeks to recruit and appoint the best available person for a job regardless of marital / civil partnership status, sex (including pregnancy), age, religion, belief, race, nationality and ethnic or national origin, colour, sexual orientation or disability.

How we’ll support you

· Training and development to help you excel in your career

· Flexible working to assist you balance your personal priorities

· Coaching and support from experts in your team

· A culture of continuous learning to aid progression

· A range of flexible benefits that you can tailor to suit your needs

About us and our teams

Please visit our company website for further information:

https://www.db.com/company/company.html

Our values define the working environment we strive to create – diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer.

We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation.

Click here to find out more about our diversity and inclusion policy and initiatives.",3.6,"Deutsche Bank
3.6",Pune,-1,10000+ Employees,1870,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1
Data Scientist,-1,"Introduction
As a Data Scientist at IBM, you will help transform our clients data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether its investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
As a Data Scientist, you will be part of our growing team of data scientists and experts. You will be responsible for expanding and optimizing our data models, prediction algorithms correlation algorithms as well as text analytics models. You will support our software developers, data engineers on building and enhancing models. You must be self- directed and comfortable supporting the data needs of multiple teams, systems and products. The right candidate will be excited by the prospect of optimizing or even re- designing our real time anomaly detection, correlation and forecasting models. You will be working on as a Data Scientist. The solutions developed by you would be highly scalable leveraging that needs to be run in Kubernetes Container environment.

Responsibilities:

Some of the Solutions we work involve the following
Real time anomaly detection solutions that proactively identify service impacting incidents and prevent system downtimes. This is done by leveraging an ensemble of Deep learning and LSTM models.
Natural Language Processing for entity, topic clusters and relationship extraction
Text Analytics in human generated tickets and correlation with event tickets for event noise reduction. ApplyNatural Language Classification and RNN algorithms to automatically route tickets
Log Analysis - Text mining, message clustering / templatization, Logs to metrics, anomaly detection, event annotation and sequencing
Learn Log Message Sequence for each mainframe batch job and Identify Anomalies during job runs using sequence mining techniques and provide early warning / alerts
Cloud Migration - Patterns-based discovery optimization: Identify potential business application boundaries using algorithmic approach from Cloudscape data.
Wave planner: Employ goal-based reasoning from AI planning capabilities for Server affinity, cost, time, black-out windows, etc.To power the above use cases, we have a Big Data system that can handle 2-3 TB of data daily and we manage a data lake that is 15 PB in size.
Required Technical and Professional Expertise
Degree in Statistics, Mathematics, Computer Science or another quantitative field with 6 to 8 years of experience in manipulating data sets and building statistical models
Experience in using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets
Experience in creating and using advanced machine learning algorithms and statistics such as regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience in visualizing or presenting data for stakeholders using Excel, PowerBI, Tableau etc.
Experience with distributed data or computing tools such as Hive, Spark, MySQL, etc
Experience creating and using advanced machine learning algorithms and statistics:
regression, simulation, scenario analysis, modelling, clustering, decision trees, etc.
Strong knowledge of Java or Python and general software development skills
(source code management, debugging, testing, deployment, etc.)
Preferred Technical and Professional Expertise
Bachelors degree in Computer Science, Mathematics, Physics, Computational Linguistics, or related field
Experience with open-source distributed data processing frameworks, such as Spark
Experience working in a Linux environment
Experience working on a development team building product
Experience with presenting complex data science processes/information to non-data scientists
Experience with Information Retrieval and relevant tools such as Lucene, Elasticsearch, Solr
Experience with conducting projects from requirements generation, annotation, and modeling, through NLP output deliverables and management of internal/external clients
Prioritization skills; ability to manage ad-hoc requests in parallel with ongoing projects
About Business Unit
At Global Technology Services (GTS), we help our clients envision the future by offering end-to-end IT and technology support services, supported by an unmatched global delivery network. It's a unique blend of bold new ideas and client-first thinking. If you can restlessly reinvent yourself and solve problems in new ways, work on both technology and business projects, and ask, ""What else is possible?"" GTS is the place for you!

Your Life @ IBM
What matters to you when youre looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBMs greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",3.9,"IBM
3.9",Gurgaon,-1,10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),-1
Data Scientist,-1,"Data Scientist


Full time

-

Pune

The Company


Talentica Software is a boutique software development company started by ex-IITB grads and industry veterans. It is a privately held company. The company is 16 years old and 400+ employees work exclusively for startups as Tech Partners taking them from a Series-A position to Series-B position and possible acquisition (for example Citrus Pay).
We have built products for over 125 startups, most of them are based in the Bay Area or Europe. These startups come to us primarily because we know the issues that plague startup product development and the solutions for the same, thereby improving their success chances. Owing to the unique space we are in, we deal extensively with cutting edge technology.

The data science team works under the purview of the Technology Excellence Group at Talentica Software. The goal of this team is to solve problems and build algorithms that are typically data driven. Hence, problems involving statistics, optimization, computer vision, machine learning, and natural language processing are of interest to this group.

We are looking to hire a Data Scientist with Computer Vision and Machine Learning experience.

Here is what we are looking for in prospective candidates: Mandatory
Has completed his/her PhD from one of the old IITs or IISc-Bangalore
Should have completed full-time PhD degree
Graduated from IIT or IISc or IIIT-Hyderabad or ISI-Kolkata with a Master’s degree
Should have at least one published full paper in CVPR or ECCV or ICML or NIPS
Excellent programming skills and must be able to implement complex algorithms in Python
Hands-on experience with use of standard image processing and machine learning libraries such as OpenCV, Tensorflow, Keras

Here is what we are looking for in prospective candidates: Good to have
Graduated from IIT-Bombay or IISc-Bangalore or IIT-Delhi
Not required for the current role but it is good to have worked with Mongo/Cassandra/PostgreSQL/Neo4J
Credited courses focused on linear algebra, stochastic models, pattern recognition, design and analysis of algorithms, machine learning
Interest in applications of computer vision algorithms for video, shape recognition, matching & retrieval

Experience:
Should have worked in the industry for at least 2 years.
Should like to work in a startup environment.
Should be capable of converting theory to practice by reading relevant papers.
Should be capable of conceiving original ideas and coding them as working algorithms.",4.1,"Talentica
4.1",Pune,-1,201 to 500 Employees,2003,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,-1,"As our Data Scientist, you'll develop complex statistical models and machine learning algorithms to tackle critical product and business challenges. Working with product teams you will implement data science models that integrate into live production systems. Through deep behavioral analytics, you’ll uncover significant product insights to help improve our player experiences. As an SME in our organization, you’ll level-up our data science infrastructure and tools, by contributing directly to our Data Intelligence vision and associated Engineering stack.

Responsibilities
Selecting features, building and optimizing machine learning algorithms that impact the business.
E2E algorithm deployment working closely with engineering teams.
Data mining using state-of-the-art methods and develop internal A/B testing procedures.
Find opportunities to automate fraud detection, personalization, etc using machine learning algorithms and working with tech teams.
Processing, cleansing, and verifying the integrity of data used for analysis.
Propose hypotheses and design experiments in the context of specific problems.
Creating automated anomaly detection systems and constant tracking of its performance.
Extending the company’s data with third-party sources of information when needed in form of Restful APIs.
Requirements
Advanced degree in Engineering, Statistics, Economics, Computer Science or Mathematics
Experience in big data analytics
2+ years of experience as an analyst in the BI space
Experience in Machine Learning: Data /Text Mining, NLP, Ensemble methods, Search Algorithms, Deep Learning algorithms
Good applied statistics skills such as distributions, statistical testing, regression, etc.
Experience in scripting languages like Python/ Julia. PySpark experience will be preferred
Deep understanding of SQL (Presto, Hive, MS SQL) - write efficient codes and decipher query plans to identify performance bottlenecks
Experience with NoSQL databases, such as MongoDB/ Cassandra.
Experience in deep learning frameworks like Tensorflow, PyTorch or similar technologies. E2E experience including model serving will be preferred.
Basic understanding of AWS will help but it is not preferred
Data-oriented personality and scientific temperament that seeks to rigorously validate hypothesis/ ideas.
Great communication skills.",4.4,"Junglee Games
4.4",Gurgaon,-1,201 to 500 Employees,2012,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$25 to $50 million (USD),-1
Data Scientist,-1,"Responsibilities
Conduct large-scale data analysis and develop fraud prevention predictive models for financial institutions.
Mine and analyze data to drive optimization and improvement of product development and business strategies.
Maintain and analyze information about multiple clients’ models, to derive insights for clients and for enhancing risk model performance.
Help maintain and improve model development tools.
Take part in the formation of a new team and help setup practices and processes.


Qualifications
Advanced degree in a quantitative area (statistics, mathematics, physics, computer science, engineering)
Experience of 2-5 years with statistical model development. Deep and diverse experience with multiple statistical procedures and machine learning algorithms.
Strong general analytical skills, agility with using quantitative tools to solve analytical problems
Good oral and written communications skills, and ability to interact with engineers, software developers, project managers, business analysts, product managers and with clients.
Vast experience using SQL and modeling with Python.
Innovative aptitude and can-do approach.",3.9,"NICE Actimize
3.9",Pune,-1,501 to 1000 Employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,-1,"Experience in Python & Scrapping using Selenium, Beautiful Soup, and pandas.
Experience in NLP and NLG using TFIDF, Word2Vec, ELMO, Spacy and BERT & T5.Â
Experience in Flask web service and Docker image development.Â
Strong problem-solving skills with an emphasis on data transformation.Â
Knowledge or experience in RNN, LSTM & CNN.Â
Knowledge and experience in statistical and data mining techniques: Regression, Random Forest, Boosting, Trees, ARIMA, etc.Â
Knowledge in Cloud Services like AWS, Azure.Â
Excellent written and verbal communication skills for coordinating across teams.Â
Coordinate with different functional teams to implement models and monitor outcomes.
Soft Skills:Â
Good communication & Inter-personal skills.
Strong in Numerical Ability & Logical Reasoning.Â
Go-Getter with a positive attitude.
00-7.00 Years",-1,Banctec Tps India Private Limited,Pune,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Company overview

A Leading Renewable company.

Your Opportunity
As a Data Scientist, you will get the opportunity to build custom solutions in renewable domain. You will work with world-class engineers to build the next generation data-driven Renewable company strategy using the latest technology stack, such as Apache Spark, R, Python, Azure, Databricks to provide business decisions backed by data.

Our Ideal candidate -
Good programming and logical skills.
Working knowledge of R or Python programming language and SQL Concepts. Good to have exposure to distributed and cloud
computing.
Knowledge of statistical approaches, incl. advanced machine learning techniques (e.g. Data Science, Support Vector Machines,
Machine Learning, linear models, multivariate analysis, stochastic models, and sampling methods) and/or optimization
Excellent verbal and written communication skills.
Ability to learn and implement new technologies quickly.
Programming skills –
Basic knowledge of at least 1 programming language (Python, R, Scala)
Algorithms – Theoretical knowledge of at least 3-4 algorithms (advanced/basic)
Hands on implementation – Developed at least 1-2 basic models.
Requirements

Functional/ Domain expertise -
Worked in at least 1 industry as part of an analytics team responsible for model building and implementation
Communication skills -
Basic level of articulation of theoretical concepts.
Ability to communicate with cross functional roles is a plus
Teamwork -
Displays ability to work as a self-motivated team player
Has worked in large teams with an agile setup in the past
Additional information

Location- Gurgaon
Experience- 1-4 years",3.9,"RGF Professional Recruitment
3.9",Gurgaon,-1,10000+ Employees,1960,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1
